Region,Country,Year,Reference date,Reference,URL,NATLEX ISN,General remarks
Africa,Lesotho,2019,,"Labour Code (Codes of Good Practice) Notice No. 4 of 2003 (soft law, not legally binding)",https://www.ilo.org/legacy/english/inwork/cb-policy-guide/lesothocodesofgoodpractice2003%20art24and25.pdf,,
Europe,Luxembourg,2019,2012-10-31,"Labour Code  [LC], 31 July 2006, including amendments up to 1st February 2019<br/>(Code du travail - available only in French)",http://www.legilux.public.lu/leg/textescoordonnes/codes/index.html#code_travail,74303.0,
Africa,Morocco,2019,2003-09-11,"Labour Code, 2003<br/>(Dahir No 1-03-194  portant promulgation de la loi n° 65-99 relative au Code du travail - in French)",,67319.0,
Africa,Morocco,2019,2004-12-29,Decree N° 2-04-469  of 2004 on notice period<br/>(Décret n° 2-04-469 du 16 KAADA 1425 (29 décembre 2004) relatif au délai de préavis pour la rupture unilatérale du contrat de travail à durée indéterminée - in French),http://www.droit-afrique.com/images/textes/Maroc/Maroc%20-%20Decrets%20appli%20code%20du%20travail.pdf,70119.0,
Europe,"Moldova, Republic of",2017,2017-07-20,"Labour Code [LC], No 154-XV (2003), as last amended on 20 July, 2017",http://lex.justice.md/md/326757/,64896.0,
Europe,Montenegro,2020,2019-12-01,"Labour Law [LL], Act No. 49/08, as amended by Acts No. 49/08, 26/09, 88/9, 26/10, 59/11, 66/12, 31/14, 53/14, 4/18 and 74/19.<br/>The New Labour Act, introduced by Law 74/2019, entered into force in Montenegro on 8 January 2020.",https://www.paragraf.me/propisi-crnegore/zakon-o-radu.html,,
Africa,Madagascar,2019,2004-07-28,"Labour Code [LC], Act No. 2003-044 dated 28 July 2004<br/>(available in French only, Loi n° 2003-044 du 28 juillet 2004 portant Code du travail)",http://www.droit-afrique.com/images/textes/Madagascar/Mada%20-%20Code%20du%20travail.pdf,70303.0,
Africa,Madagascar,2019,2007-01-09,"Decree No 2007-008 dated 9 January 2007 establishing the form, duration and other terms of probationary employment. Published in the Official Journal (J.O) no. 3 098 of 02/04/07, p. 2583.<br/>(Available in French only: Décret N°2007-008 Fixant les formes, la durée et autres modalités de l&apos;engagement à l&apos;essai)",http://www.mfptls.gov.mg/Decret%20travail/D008_07ESSAI.pdf,77625.0,
Africa,Madagascar,2019,2007-01-09,"Decree No 2007-009 of 9 January 2007 establishing the conditions and the duration of the notice period to be observed when terminating an employment contract of indefinite duration. Published in the Official Journal (J.O) no. 3 099 of 09/04/07, p. 2647.<br/>(Available in French only: Décret N° 2007-009 Déterminant les conditions et la durée du préavis de résiliation du contrat de travail à durée indéterminée)",http://www.mfptls.gov.mg/Decret%20travail/D009_07PREAVIS.pdf,77624.0,
Africa,Madagascar,2019,2011-10-11,"Decree No. 2011-626 of 11 October 2011 implementing Law No. 2003-044 of 28 July 2004 on the Labour Code, relating to the fight against HIV / AIDS in the workplace. Published in the Official Journal (J.O), 2011-12-05, n° 3397, pp. 1986-1987.<br/>(Available in French only:  Décret n° 2011-626 du 11 octobre 2011 portant application de la loi n° 2003-044 du 28 juillet 2004 portant Code du travail, relatif à la lutte contre le VIH/SIDA en milieu de travail).",http://www.ilo.org/wcmsp5/groups/public/---ed_protect/---protrav/---ilo_aids/documents/legaldocument/wcms_186079.pdf,90091.0,
